# Time,MAG_err
,
0.0,18.4765
2.9376,18.6097
6.9984,18.5722
9.936,18.3249
13.9968,18.1921
17.9712,18.3463
21.9456,18.3625
24.9696,18.1502
33.0048,18.452
36.9792,18.5372
40.9536,18.7041
43.9776,18.5355
47.952,18.3432
51.9264,18.4457
55.9872,18.407
58.9248,18.3189
62.9856,18.2657
73.9584,18.623
77.9328,18.6087
81.9936,18.6722
87.9552,18.3486
95.9904,18.8261
98.928,18.4682
102.989,18.3384
110.938,18.5758
113.962,18.5133
117.936,18.3653
121.997,18.8124
125.971,18.2194
129.946,18.6175
132.97,18.4348
136.944,18.5474
140.918,18.3059
144.979,18.291
148.003,18.5516
151.978,18.3581
155.952,18.3967
159.926,18.652
162.95,18.3564
166.925,18.4207
170.986,18.4678
174.96,18.3956
177.984,18.1295
181.958,18.6407
185.933,18.2626
189.994,18.2504
192.931,18.621
196.992,18.3024
200.966,18.5315
204.941,18.3691
207.965,18.4462
211.939,18.7673
216.0,18.33
219.974,18.771
222.998,18.369
226.973,18.4784
230.947,18.5298
234.922,18.4642
237.946,18.5193
241.92,18.4935
245.981,18.5717
249.955,18.3036
252.979,18.5741
256.954,18.9769
260.928,18.3566
264.989,18.5027
267.926,18.7362
275.962,18.5906
279.936,18.2516
283.997,18.4645
286.934,18.6818
290.995,18.3305
294.97,18.7432
297.994,18.362
301.968,18.2329
305.942,18.1397
310.003,18.3198
313.978,18.4955
