# Time,MAG_err
,
0.0,14.98
3.888,14.9598
7.776,15.1705
11.664,14.9772
15.552,14.9843
19.3536,14.9426
23.2416,14.9335
27.1296,14.8948
30.9312,14.9169
34.8192,14.8888
38.7072,14.9264
42.5952,14.9186
46.3968,14.76
58.0608,14.6679
61.9488,14.7376
65.7504,14.7306
69.6384,14.7437
73.5264,14.8199
77.328,14.8551
81.216,14.9667
85.104,14.9658
88.992,15.0149
92.7936,14.9352
96.6816,14.9123
100.57,14.8837
104.371,14.8714
108.259,14.8452
112.147,14.9652
116.035,14.912
119.837,15.0176
123.725,14.8557
127.613,14.9256
131.501,14.8591
135.389,14.8162
140.141,14.8447
144.029,14.8484
147.83,14.95
151.718,14.998
155.606,15.1389
159.494,15.2359
167.184,15.3013
171.072,15.1262
174.96,15.0533
178.848,15.0056
182.65,14.8939
186.538,14.8849
190.426,14.8691
194.314,14.8372
198.115,14.8304
202.003,15.0311
205.891,14.9015
209.779,14.857
213.667,14.8535
217.469,14.8301
221.357,14.818
225.245,14.7475
229.133,14.7236
232.934,14.7893
236.822,14.8063
240.71,15.0504
244.598,14.8821
248.486,14.9279
252.288,14.8969
256.176,14.8288
260.064,14.8004
263.952,14.8532
267.754,14.8899
271.642,14.8706
275.53,14.8319
279.331,15.0703
283.219,14.849
287.107,14.9475
290.995,14.9817
294.883,15.0249
298.771,15.1677
302.573,15.1469
306.461,15.2598
310.349,15.2312
314.15,15.2409
318.125,15.169
321.926,15.2182
325.728,15.1941
329.53,15.1553
333.331,15.0871
337.219,15.1486
341.021,15.333
344.822,15.4735
348.624,15.4006
352.512,15.3019
356.314,15.3184
360.115,15.2484
363.917,15.1621
367.718,15.1189
375.408,15.0089
379.21,14.9859
383.011,14.9501
386.813,15.0035
390.701,15.0007
394.502,15.0749
398.304,14.83
402.106,14.9095
405.907,14.7608
409.709,14.7205
413.597,14.7885
417.398,14.9684
421.2,15.1108
425.088,15.0856
428.89,15.2152
432.691,15.2664
436.493,15.1285
447.984,14.8816
451.786,14.8216
455.587,14.8112
459.389,14.8535
463.277,14.9357
467.078,14.9669
470.88,15.1327
474.768,15.0329
478.57,15.1087
482.371,15.0958
486.173,15.2322
490.061,15.1914
493.862,15.2601
497.664,15.3005
501.552,15.228
509.155,15.2354
516.845,15.3703
520.646,15.5336
524.448,15.4776
528.336,15.251
532.138,15.1362
535.939,15.0344
643.334,14.9353
647.482,15.0476
651.542,15.0831
655.69,14.999
659.837,14.9844
663.898,15.0266
668.045,14.9622
672.192,14.9169
676.339,14.9233
684.547,14.9877
688.694,15.058
701.05,15.5627
705.197,15.4764
709.344,15.317
713.405,15.19
717.552,15.0668
721.699,14.9408
725.846,14.9122
729.907,14.8423
734.054,14.9545
738.202,14.9104
742.349,14.8563
746.496,14.8726
758.851,14.793
762.998,14.7512
767.059,14.8138
771.206,14.8353
775.354,15.0598
779.501,14.9577
783.562,14.9701
787.709,14.8826
791.856,14.8657
796.003,14.8198
800.15,14.9089
804.211,14.9463
808.358,14.8319
812.506,15.0435
816.566,14.8781
820.714,14.9043
824.861,14.9605
829.008,15.076
833.155,15.0524
841.363,15.2348
845.51,15.3112
849.658,15.3488
853.718,15.4118
857.866,15.3923
862.013,15.2103
866.16,15.1571
874.368,15.1631
878.515,15.3179
882.662,15.6463
886.723,15.5704
890.87,15.4547
895.018,15.3813
899.078,15.2884
903.226,15.1992
907.373,15.1794
911.52,15.1005
919.728,15.0596
923.875,15.044
928.022,15.206
932.17,14.9252
936.317,14.9003
940.378,14.8185
944.525,14.8296
948.672,14.9341
952.733,15.0509
956.88,15.127
961.027,15.2176
965.174,15.2917
969.322,15.2761
973.382,15.1918
977.53,15.0768
981.677,15.0269
985.824,14.8924
989.885,14.834
994.032,14.9224
998.179,14.9194
1002.33,15.1853
1006.47,15.0339
1010.53,15.1
1014.68,15.1581
1018.83,15.2293
1022.89,15.241
1027.04,15.2797
1031.18,15.4123
1040.43,15.3882
1044.58,15.3536
1048.64,15.3091
1052.78,15.3417
1056.93,15.4532
1061.08,15.5813
1069.29,15.3017
1073.43,15.4088
1077.58,15.2822
1081.64,15.1795
1085.79,15.1177
1089.94,15.0713
1094.08,15.0823
1098.23,15.0138
1102.38,15.0484
1106.44,15.0172
1110.59,14.9926
1114.73,14.8802
1118.88,15.0161
1122.94,14.7811
1127.09,14.7891
1131.24,14.7744
1135.3,14.79
1139.44,14.8763
1143.59,14.934
