# Time,MAG_err
,
0.0,15.7113
1.9872,15.7258
4.9248,15.7643
7.9488,15.7825
10.9728,15.7423
12.96,15.7415
15.984,15.7621
18.9216,15.6465
21.9456,15.6533
23.9328,15.7647
26.9568,16.0804
29.9808,16.3939
32.9184,16.692
34.992,16.9933
37.9296,17.2278
40.9536,17.296
43.9776,17.4234
45.9648,17.0762
48.9888,16.7108
51.9264,16.4018
54.9504,16.2094
56.9376,16.0131
62.9856,15.7189
65.9232,15.5671
67.9968,15.5243
70.9344,15.4777
73.9584,15.4329
76.9824,15.409
78.9696,15.3998
84.9312,15.1755
92.9664,15.0094
95.9904,14.9611
98.928,14.9138
100.915,14.9572
103.939,14.9441
106.963,14.9566
109.987,14.9785
111.974,14.986
120.96,15.1915
122.947,15.2476
125.971,15.2758
128.995,15.2685
131.933,15.5328
133.92,15.2004
136.944,15.2288
142.992,15.2248
145.93,15.1298
150.941,15.2236
153.965,15.1829
156.989,15.2386
158.976,15.3414
162.0,15.3109
164.938,15.3671
167.962,15.3295
169.949,15.3196
178.934,15.3605
180.922,15.3525
183.946,15.323
186.97,15.4046
189.994,15.3466
191.981,15.3425
194.918,15.404
197.942,15.3198
200.966,15.2976
202.954,15.3335
205.978,15.4782
208.915,15.7161
211.939,16.1909
213.926,16.4919
216.95,16.9253
219.974,17.1664
227.923,16.7528
230.947,16.2788
233.971,16.0147
235.958,15.6506
238.982,15.4871
241.92,15.3323
244.944,15.1988
246.931,15.0767
249.955,15.037
252.979,14.9396
255.917,14.964
257.99,14.9085
260.928,14.9186
263.952,14.9319
274.925,14.9022
277.949,15.0965
280.973,15.1654
282.96,15.0324
288.922,15.027
291.946,15.0721
293.933,15.1279
296.957,15.1066
299.981,15.1294
302.918,15.1335
304.992,15.2472
307.93,15.2634
310.954,15.3388
313.978,15.2897
315.965,15.2218
318.989,15.317
321.926,15.3712
324.95,15.2445
326.938,15.249
329.962,15.2719
332.986,15.2783
335.923,15.2904
337.997,15.4645
340.934,15.5209
343.958,15.5787
346.982,15.6533
348.97,15.6294
351.994,15.7123
354.931,15.8445
357.955,15.8399
359.942,15.8611
362.966,15.8946
365.99,16.0642
368.928,16.0357
370.915,15.8849
373.939,15.7938
376.963,15.7622
379.987,15.6467
382.925,15.5508
384.998,15.7011
390.96,16.4132
392.947,16.7223
395.971,16.918
398.995,17.3428
401.933,17.3412
404.957,17.5689
409.968,16.9365
412.992,16.6157
420.941,16.1037
423.965,15.8659
426.989,15.5165
428.976,15.42
432.0,15.2751
434.938,15.182
439.949,15.051
442.973,14.9336
445.997,14.8951
448.934,14.8596
450.922,14.9364
453.946,15.0429
456.97,15.0778
459.994,15.1019
461.981,15.1093
464.918,15.1505
467.942,15.3867
