# Time,MAG_err
,
0.0,17.0269
3.024,17.1673
10.9728,17.1568
13.9968,16.9297
17.9712,17.0408
22.032,17.0692
26.0064,17.0601
29.0304,17.0454
36.9792,17.1111
43.9776,17.1442
48.0384,17.1188
59.0112,17.1268
62.9856,17.1323
67.0464,17.1849
71.0208,17.2159
81.9936,17.1375
88.992,17.1501
93.0528,17.1496
97.0272,17.0393
101.002,17.0876
104.026,16.9961
108.0,17.1741
111.974,17.1381
116.035,17.0596
120.01,17.058
123.034,17.0425
130.982,17.0945
135.043,17.1565
137.981,17.0832
142.042,17.1801
146.016,17.0599
149.99,17.1095
153.014,17.194
156.989,17.1718
161.05,17.0993
165.024,17.0896
168.048,17.1215
172.022,17.0495
175.997,17.1189
179.971,17.0169
182.995,17.1093
186.97,17.1499
191.03,17.2056
195.005,17.1521
202.003,17.0832
299.981,17.1944
304.042,17.1239
308.016,17.1312
311.04,17.21
315.014,17.1762
318.989,17.1511
334.022,17.0708
337.997,17.1211
341.021,17.1733
344.995,17.096
348.97,17.176
353.03,17.2778
355.968,17.1313
360.029,17.144
364.003,17.2259
367.978,17.1935
379.037,17.2411
383.011,17.0942
386.035,17.2119
390.01,17.1577
393.984,17.121
398.045,17.0146
400.982,17.1255
405.043,17.1416
409.018,17.1349
412.992,17.1642
416.016,17.1338
419.99,17.1343
424.051,17.1642
428.026,17.1719
431.05,17.1692
435.024,17.212
438.998,17.2592
442.973,17.2017
445.997,17.1408
449.971,17.2439
454.032,17.1264
458.006,17.1022
461.03,17.1668
465.005,17.2495
468.979,17.2607
473.04,17.1999
477.014,17.2527
480.038,17.2963
484.013,17.1728
576.979,17.1344
580.003,17.1874
583.978,17.3866
587.002,17.3494
590.976,17.3324
595.037,17.2056
599.011,17.1539
602.035,17.1666
606.01,17.2529
609.984,17.1451
614.045,17.3338
616.982,17.1976
621.043,17.2042
625.018,17.3311
628.992,17.2532
632.016,17.1679
635.99,17.2421
640.051,17.1926
644.026,17.1838
647.05,17.3015
651.024,17.0915
654.998,17.1616
658.973,17.2843
661.997,17.3798
665.971,17.1715
674.006,17.2679
677.981,17.2409
681.005,17.2564
684.979,17.2034
691.978,17.1981
696.038,17.1488
703.987,17.2024
708.048,17.2621
710.986,17.1965
715.046,17.2704
719.021,17.2549
722.995,17.2502
726.019,17.2899
729.994,17.2008
733.968,17.2998
738.029,17.1347
741.053,17.2475
745.027,17.3695
752.976,17.2753
756.0,17.1676
759.974,17.1676
764.035,17.2872
768.01,17.3619
771.034,17.2404
775.008,17.2573
778.982,17.294
783.043,17.3061
785.981,17.259
790.042,17.2641
794.016,17.2352
797.99,17.2575
801.014,17.2918
809.05,17.2021
813.024,17.2545
875.923,17.2182
878.947,17.416
881.885,17.3658
885.946,17.4793
889.92,17.3328
892.944,17.1516
896.918,17.3454
899.942,17.2721
903.917,17.3078
906.941,17.2577
910.915,17.3012
913.939,17.2242
917.914,17.2391
921.888,17.2579
924.912,17.3351
928.886,17.221
931.91,17.2349
935.885,17.2471
942.883,17.3204
945.907,17.3335
949.882,17.2447
953.942,17.3835
956.88,17.1927
960.941,17.2445
963.878,17.2886
967.939,17.1855
970.877,17.1975
974.938,17.344
977.875,17.1425
981.936,17.2795
985.91,17.2453
988.934,17.2464
992.909,17.2552
995.933,17.1467
999.907,17.301
1002.93,17.1808
1006.91,17.2352
1009.93,17.3901
1013.9,17.1812
1017.88,17.2813
1020.9,17.2866
1024.88,17.1884
1027.9,17.2315
1031.88,17.3747
1034.9,17.2818
1038.87,17.2177
1041.9,17.3055
1052.87,17.3018
1056.93,17.3302
1059.87,17.2539
1063.93,17.3528
1066.95,17.3032
1070.93,17.3177
1073.95,17.3975
1077.93,17.2711
1081.9,17.1557
1084.92,17.3824
1149.9,17.2903
1159.92,17.2524
1163.89,17.27
1167.87,17.4199
1170.89,17.4041
1174.95,17.2629
1177.89,17.13
1181.95,17.2525
1184.89,17.2801
1188.95,17.2522
1195.95,17.2741
1199.92,17.2988
1209.95,17.2402
1213.92,17.2145
1216.94,17.4898
1220.92,17.6918
1223.94,17.4149
1227.92,17.3301
1231.89,17.366
1234.92,17.2306
1238.89,17.3109
1241.91,17.2991
1248.91,17.277
1252.89,17.2974
1255.91,17.4253
1259.88,17.2766
1263.95,17.2486
1266.88,17.1969
1270.94,17.2787
1273.88,17.4299
1277.94,17.3436
1280.88,17.3411
1284.94,17.2568
1287.88,17.1629
1291.94,17.1896
1295.91,17.2005
1298.94,17.3435
1302.91,17.1953
1305.94,17.236
1309.91,17.1544
1312.93,17.3421
1316.91,17.2537
1319.93,17.2722
1323.91,17.2021
1327.88,17.4098
1330.91,17.3298
1334.88,17.2306
