# Time,MAG_err
,
0.0,-0.0147249
3.024,0.0944269
6.9984,-0.150863
11.0592,-0.150816
13.9968,0.102943
18.0576,-0.180571
22.032,0.368484
26.0064,-0.0907328
33.0048,-0.00329881
36.9792,0.0702894
41.04,-0.209773
43.9776,0.189991
48.0384,-0.192368
52.0128,-0.124241
55.9872,-0.186954
59.0112,0.0699745
62.9856,0.0571
74.0448,0.345731
78.0192,-0.0162364
88.992,-0.0183973
93.0528,-0.121835
97.0272,0.0679927
101.002,0.233483
104.026,-0.062729
108.0,0.0335775
111.974,0.0767695
116.035,-0.0884017
127.008,0.0773986
142.042,-0.150137
146.016,-0.0209047
149.04,0.0791981
156.989,0.049926
161.05,-0.0617858
163.987,-0.269449
172.022,-0.104456
175.997,-0.451251
180.058,-0.141287
182.995,0.0216692
187.056,0.0146756
195.005,0.126686
198.029,-0.0624308
202.003,0.0999456
205.978,-0.226051
210.038,-0.0803736
212.976,0.0990361
217.037,0.376742
221.011,0.0952265
224.986,-0.00593535
228.01,0.0587383
231.984,0.0647959
236.045,-0.0162628
240.019,0.333259
243.043,0.135925
250.992,0.00998494
255.053,-0.0320337
257.99,0.0512198
266.026,-0.0837404
270.0,0.138709
273.024,0.158375
276.998,0.0403684
281.059,0.0446555
285.034,0.165996
288.058,0.086996
292.032,0.100328
296.006,0.147219
303.005,0.0927845
306.979,0.0955648
311.04,-0.00155528
315.014,-0.352276
318.038,0.322963
322.013,0.10274
325.987,-0.0172658
330.048,-0.246601
332.986,-0.280893
337.046,-0.219479
344.995,-0.0462215
349.056,-0.0109233
360.029,0.0155614
364.003,-0.0753342
367.027,-0.0194919
371.002,-0.0229275
374.976,0.228148
379.037,0.0969626
382.061,-0.0877575
386.035,-0.205824
393.984,0.098522
397.008,-0.187499
405.043,0.136742
409.018,-0.0709022
412.042,0.0515726
416.016,-0.0078135
419.99,-0.0652546
424.051,-0.165928
426.989,0.144463
431.05,-0.0964173
435.024,0.00333739
438.998,-0.0744966
442.022,-0.0136198
445.997,-0.288144
450.058,-0.0890115
454.032,0.299941
457.056,-0.202193
461.03,-0.13123
465.005,-0.100649
468.979,0.0421747
472.003,0.391283
484.013,0.0664518
487.037,-0.175982
491.011,-0.0335585
494.986,-0.279275
499.046,0.173673
501.984,-0.00493244
506.045,-0.202402
510.019,-0.0568035
513.994,-0.0776786
517.018,-0.0264402
520.992,-0.111052
525.053,0.0997615
532.051,0.141247
536.026,0.125511
540.0,0.0699087
544.061,-0.0232471
548.035,-0.0124438
551.059,0.0805761
555.034,0.134279
559.008,0.000807518
562.982,0.06385
566.006,-0.0571108
574.042,0.01386
578.016,-0.252075
581.04,0.0286041
588.989,0.100233
593.05,-0.0210837
595.987,0.0104866
600.048,0.138578
604.022,0.0174847
607.997,0.0962868
611.021,-0.0251604
614.995,-0.0805749
619.056,-0.0478472
623.03,0.0313811
626.054,0.130042
630.029,0.148276
634.003,0.189415
637.978,-0.152523
641.002,-0.0573296
644.976,-0.0911133
649.037,0.204937
653.011,0.110116
656.035,0.0879055
660.01,0.336379
663.984,0.23345
668.045,-0.0333321
670.982,-0.328956
675.043,-0.378148
679.018,-0.0588777
682.992,-0.0751529
686.016,-0.0184581
689.99,0.182398
694.051,-0.0835216
698.026,0.0293539
701.05,0.0504291
705.024,0.114455
708.998,-0.25658
713.059,0.0178863
715.997,-0.178146
720.058,0.0259686
724.032,-0.239742
731.981,-0.115082
735.005,0.0431914
743.04,-0.154309
747.014,-0.131156
750.038,0.0187021
754.013,0.00747346
757.987,0.170526
762.048,-0.306198
764.986,0.0810681
773.021,0.0208724
780.019,-0.0751596
783.994,0.0943213
788.054,0.0434366
792.029,-0.0130972
795.053,0.0580512
803.002,0.0843424
806.976,-0.0580307
810.0,0.23594
813.974,0.15664
818.035,0.0700487
822.01,-0.106822
825.034,0.16627
829.008,-0.116468
832.982,-0.444546
837.043,0.332682
839.981,0.149887
844.042,-0.162135
848.016,-0.198107
851.99,-0.110026
855.014,0.0679216
858.989,-0.138673
863.05,0.0764194
867.024,0.00309333
870.048,0.16668
874.022,-0.0121638
882.058,-0.339738
886.032,0.0290704
889.056,0.142777
893.03,0.0960892
897.005,0.0382256
900.979,0.113015
904.003,0.124064
907.978,0.064855
912.038,0.0583664
916.013,0.0138887
919.037,0.0889706
926.986,0.230097
931.046,0.0924696
933.984,0.0392165
938.045,-0.325395
945.994,-0.0162812
949.018,-0.103895
952.992,0.0940658
957.053,-0.177768
964.051,0.0243574
968.026,0.00118792
972.0,0.024652
976.061,-0.142036
978.998,-0.0671316
983.059,-0.0216806
987.034,-0.11948
991.008,-0.295388
998.006,-0.00476953
1001.98,0.0520454
1006.04,0.0294829
1008.98,0.0710824
1013.04,0.0927375
1017.01,0.0101944
1020.99,0.112008
1024.01,-0.0238932
1027.99,0.151509
1032.05,0.144474
1036.02,0.0982498
1039.05,0.127916
1043.02,-0.0575018
1047.0,-0.121035
1051.06,0.166394
1053.99,-0.00297285
1058.05,0.0591249
1062.03,0.211829
1066.0,0.05538
1069.03,0.021991
1073.0,-0.209119
1076.98,0.234335
1081.04,0.111596
1085.01,0.0501575
1088.04,-0.028141
1092.01,0.0131308
1095.98,-0.41975
1100.04,0.0454568
1102.98,-0.0234667
1107.04,-0.0769648
1111.02,-0.055166
1114.99,-0.303855
1118.02,0.0462313
1121.99,0.0218483
