# Time,MAG_err
,
0.0,15.6381
2.0736,15.5434
5.0112,15.5189
8.0352,15.751
11.0592,15.78
13.9968,15.7652
16.0704,15.6024
19.008,15.4254
22.032,15.4673
25.056,15.3978
27.0432,15.3243
30.0672,15.2978
33.0048,15.3239
36.0288,15.3308
38.016,15.2421
41.04,15.2192
44.064,15.2308
47.0016,15.1975
49.0752,15.2768
52.0128,15.2966
55.0368,15.268
58.0608,15.3054
60.048,15.0889
63.072,15.1499
66.0096,15.2109
69.0336,15.2926
71.0208,15.3798
74.0448,15.4257
77.0688,15.341
80.0064,15.2923
81.9936,15.3603
85.0176,15.3476
88.0416,15.4027
91.0656,15.5408
93.0528,15.8088
95.9904,15.6364
99.0144,15.7045
102.038,15.8342
104.026,15.6118
107.05,15.7099
110.074,15.7199
113.011,15.7324
116.035,15.8622
118.022,15.8098
121.046,15.8614
124.07,15.9036
126.058,15.8873
128.995,15.8316
132.019,16.0057
135.043,16.1036
137.03,16.0806
140.054,16.4759
142.992,16.3692
146.016,16.3729
149.04,16.2929
151.027,16.635
154.051,16.441
157.075,16.5276
160.013,16.4598
162.0,16.5948
165.024,16.2795
168.048,16.443
171.072,16.3404
173.059,16.3416
175.997,16.2514
179.021,16.2994
182.045,16.1507
184.032,16.2049
187.056,16.3462
189.994,16.4279
193.018,16.1513
195.005,16.3454
198.029,16.5703
201.053,16.3348
203.99,16.6602
206.064,16.7172
209.002,16.7093
212.026,16.5941
215.05,16.5659
217.037,16.3138
220.061,16.2901
222.998,16.351
226.022,16.1331
228.01,16.0945
231.034,16.125
234.058,16.2537
236.995,16.1401
239.069,16.0942
242.006,15.9851
245.03,15.8535
248.054,16.0548
250.042,15.9239
253.066,15.8858
256.003,15.9052
259.027,16.0381
262.051,15.7306
264.038,15.6176
267.062,15.1872
270.0,15.5119
272.074,15.4736
275.011,15.4388
278.035,15.4622
281.059,15.52
283.997,15.589
