# Time,MAG_err
,
0.0,15.8605
1.9872,15.5976
4.0608,15.5315
6.048,15.8048
15.0336,15.6445
17.0208,15.5633
19.008,15.6571
20.9952,15.6833
22.9824,15.6497
24.9696,15.5184
26.9568,15.6622
29.0304,15.5036
29.9808,15.5359
31.968,15.5017
33.9552,15.8059
36.0288,15.8935
38.016,15.7636
40.0032,15.8088
41.9904,15.6615
43.9776,15.7108
45.9648,15.6161
48.0384,15.9748
50.0256,15.4478
52.0128,15.4091
54.0,15.7145
55.9872,15.7032
57.9744,15.8099
59.9616,15.6916
62.0352,15.7266
64.0224,15.0797
66.0096,15.5617
67.9968,15.7482
69.984,15.728
71.9712,15.3698
73.008,15.8792
74.9952,15.6024
76.9824,15.6999
78.9696,15.5946
80.9568,15.4628
83.0304,15.504
85.0176,15.7632
87.0048,15.7171
88.992,15.5438
90.9792,15.553
92.9664,15.4501
94.9536,15.781
97.0272,15.7903
99.0144,15.8986
101.002,15.3955
102.989,15.645
104.976,15.8043
106.963,15.7447
109.037,15.72
111.024,15.4616
113.011,15.7506
114.998,15.8497
116.035,15.4571
118.022,15.7333
120.01,14.0076
121.997,15.5346
123.984,16.0919
125.971,15.7292
127.958,15.8727
130.032,15.8492
132.019,15.5186
134.006,15.629
135.994,15.8288
137.981,15.6756
139.968,15.6656
141.955,15.5979
144.029,15.5347
146.016,15.5037
148.003,15.7419
149.99,15.1638
151.978,15.5044
153.965,15.4851
156.038,15.8757
158.026,15.6694
158.976,15.5751
162.0,15.6923
163.037,15.3671
165.024,15.5903
167.011,15.7213
168.998,15.64
170.986,15.5738
172.973,15.6745
174.96,15.7624
177.034,15.637
179.021,15.6858
181.008,15.7135
182.995,15.2915
184.982,15.6626
186.97,15.4751
188.957,15.5303
191.03,15.5203
193.018,15.6957
195.005,15.6417
196.992,15.5095
198.979,15.6828
200.966,15.7651
202.954,15.8864
203.99,15.6746
205.978,15.6874
207.965,15.7392
210.038,15.768
212.026,16.0416
214.013,15.7714
216.0,15.3334
217.987,15.5112
219.974,15.9099
221.962,15.8276
224.035,15.7691
226.022,15.8603
228.01,15.7783
229.997,15.7849
231.984,15.0398
233.971,15.6462
235.958,15.8449
238.032,15.7845
240.019,15.7509
242.006,15.573
243.994,15.461
245.981,15.9217
247.968,15.7071
249.005,15.8235
250.992,15.7442
252.979,15.4312
254.966,15.9408
256.954,15.8059
259.027,15.6747
261.014,15.9214
263.002,15.5762
264.989,15.6745
266.976,15.7382
268.963,15.734
271.037,15.4759
273.024,15.9528
275.011,15.6137
276.998,15.7885
278.986,15.8043
280.973,15.6954
282.96,15.5314
285.034,15.5852
287.021,15.7505
289.008,15.9321
290.995,15.3788
292.032,15.7851
294.019,15.7953
296.006,16.0683
297.994,15.9619
299.981,16.275
301.968,16.3512
303.955,15.6105
306.029,16.1337
