# Time,MAG_err
,
0.0,17.2346
3.9744,16.814
6.9984,17.788
8.9856,16.7966
12.96,17.1369
15.984,16.702
17.9712,16.9258
19.9584,17.1534
21.9456,17.1368
24.9696,17.8767
28.944,16.8013
31.0176,17.543
33.9552,17.3748
36.0288,17.075
38.016,17.1026
40.0032,17.6519
43.0272,17.0297
45.0144,17.1479
47.0016,16.9921
48.9888,16.5482
52.0128,16.9622
54.0,17.4614
55.9872,16.8416
59.0112,17.3971
60.9984,17.8959
62.9856,16.6268
64.9728,17.3093
67.9968,17.7484
69.984,17.062
71.9712,16.9301
73.9584,16.5716
76.9824,17.0845
80.9568,17.2684
82.944,17.1287
85.968,17.1162
87.9552,17.6102
90.0288,17.0936
92.016,17.647
94.9536,16.763
97.0272,16.7609
99.0144,17.8663
101.002,17.2031
