# Time,MAG_err
,
0.0,17.563
1.9872,17.3684
3.9744,17.3302
5.9616,17.6529
7.9488,17.5036
10.9728,16.9683
12.96,17.3033
14.9472,17.489
17.0208,17.0384
19.9584,17.865
21.9456,17.5762
24.0192,16.8972
28.944,17.8005
31.0176,17.2492
34.992,17.428
38.016,17.208
40.0032,17.7836
41.9904,17.4655
45.0144,17.4572
47.0016,17.355
48.9888,17.4309
50.976,17.1441
52.9632,17.5321
57.9744,17.1911
59.9616,17.4565
62.9856,16.8688
64.9728,17.8564
66.96,18.2214
68.9472,16.9555
71.9712,17.6018
73.9584,17.6101
75.9456,17.0861
82.944,17.2264
85.0176,17.5818
87.0048,17.7043
89.9424,16.7646
92.016,17.3714
94.0032,17.1941
95.9904,17.0083
99.0144,17.4055
104.976,17.3033
108.0,17.7766
111.974,17.8784
116.986,16.8923
120.96,17.6816
122.947,17.2196
125.971,17.7689
129.946,17.3381
132.019,17.8357
134.957,17.4728
136.944,16.8492
139.018,18.4475
141.005,17.5708
143.942,17.2946
146.016,17.1443
148.003,17.1994
149.99,17.0538
153.014,17.7094
155.002,17.3128
156.989,17.2154
162.0,17.4541
165.974,17.5737
167.962,17.337
170.986,17.117
172.973,17.2653
174.96,17.7828
177.984,17.0004
179.971,17.3641
181.958,17.246
183.946,16.997
186.97,17.889
188.957,17.3143
190.944,17.285
193.018,17.4468
195.955,17.5078
204.941,16.9535
207.014,17.9373
209.002,18.3817
210.989,17.0334
214.013,17.638
217.987,17.1609
219.974,18.0158
222.998,17.3987
224.986,17.0438
226.973,17.6584
228.96,17.3228
231.984,16.9782
233.971,17.5296
