# Time,MAG_err
,
0.0,14.5891
1.9872,14.7279
5.0112,14.7995
7.9488,14.8857
10.9728,15.0005
12.96,15.065
15.984,15.1543
19.008,15.1658
22.032,15.2174
24.0192,15.2865
26.9568,15.3573
29.9808,15.4101
34.992,15.7329
38.016,15.6278
40.9536,15.5992
43.9776,15.6554
45.9648,15.7767
48.9888,15.7858
52.0128,15.827
54.9504,15.9005
57.024,15.8121
59.9616,15.7621
62.9856,15.7921
66.0096,15.8464
67.9968,15.8785
71.0208,15.9044
73.9584,15.9664
76.9824,15.9213
78.9696,15.9702
81.9936,16.1339
85.0176,16.017
87.9552,15.9823
92.9664,15.9588
95.9904,15.9489
99.0144,15.9208
101.002,15.9563
104.026,15.9323
106.963,15.9295
109.987,15.8942
111.974,15.8276
114.998,15.8477
120.96,15.8291
123.984,15.8019
125.971,15.7373
128.995,15.6586
132.019,15.6196
134.957,15.574
137.03,15.6302
139.968,15.3274
142.992,15.2587
146.016,15.1084
148.003,15.1062
151.027,15.0864
153.965,15.0123
156.989,14.8321
162.0,14.4012
165.024,13.9186
167.962,13.136
169.949,13.4897
172.973,14.148
175.997,14.501
179.021,14.6533
181.008,14.7266
184.032,14.7879
186.97,14.8136
189.994,14.8537
191.981,14.8413
235.958,14.7186
238.032,14.6003
240.97,14.5052
242.957,14.4405
245.981,14.356
249.005,14.2891
252.029,14.2533
254.016,14.2121
256.954,14.1852
259.978,14.3279
263.002,14.2143
264.989,14.1761
268.013,14.2444
270.95,14.351
273.974,14.4671
275.962,14.9715
278.986,15.1708
282.01,15.214
285.034,14.9332
287.021,14.9358
289.958,15.0941
292.982,15.1168
296.006,15.0446
303.955,15.0871
306.979,15.025
311.99,15.346
315.014,15.1841
317.952,15.0736
320.976,15.0489
322.963,14.8824
325.987,14.9531
329.011,14.9249
336.96,14.4384
339.984,13.9392
343.008,13.3335
344.995,13.3642
348.019,13.9613
350.957,14.3278
353.981,14.641
355.968,14.8402
358.992,14.9795
362.016,15.1048
364.954,15.2031
367.027,15.2277
369.965,15.3103
372.989,15.4145
376.013,15.5597
378.0,15.5595
381.024,15.8973
383.962,15.7198
386.986,15.6815
388.973,15.6394
391.997,15.683
395.021,15.8292
397.958,15.9029
400.032,15.9151
402.97,15.8869
405.994,15.8637
409.018,15.8215
411.005,15.8036
414.029,15.8152
416.966,15.7881
419.99,15.7987
423.014,15.8134
428.026,15.8718
430.963,15.9493
433.987,16.1036
435.974,15.9426
438.998,15.8971
442.022,15.8943
444.96,15.9159
447.034,15.8885
449.971,15.9108
452.995,15.8106
493.949,15.3622
496.973,15.3258
499.997,15.3562
503.021,15.3246
505.008,15.2414
508.032,15.1562
510.97,15.0039
513.994,14.8258
517.018,14.5651
519.005,14.2831
522.029,13.6805
524.966,13.2105
527.99,13.7591
529.978,14.2858
533.002,14.6176
536.026,14.842
538.963,14.8746
540.95,14.9708
543.974,14.9288
546.998,14.9787
550.022,15.0598
552.01,15.2222
555.034,15.4245
560.995,15.3167
562.982,15.3707
571.968,15.452
573.955,15.4628
576.979,15.4227
580.003,15.4487
585.014,15.0053
587.952,14.885
590.976,14.6949
594.0,14.5414
595.987,14.3798
599.011,14.3184
601.949,14.3117
604.973,14.4277
606.96,14.4948
609.984,14.5711
613.008,14.6181
616.032,14.6189
618.019,14.5254
620.957,14.4348
623.981,14.2062
627.005,14.0177
630.029,14.2274
632.016,14.7346
637.978,14.7948
639.965,15.0152
642.989,15.067
646.013,15.0222
648.95,15.0454
651.024,15.039
653.962,15.0731
656.986,15.1326
660.01,15.1307
663.034,15.0394
665.021,15.1048
667.958,15.0831
670.982,15.0656
674.006,14.9468
675.994,15.0045
679.018,15.0068
681.955,14.9651
684.979,14.9271
686.966,14.8259
689.99,14.682
693.014,14.4805
698.026,13.3699
700.963,13.4461
703.987,14.0497
707.011,14.4249
708.998,14.6414
712.022,14.8029
714.96,14.9105
717.984,14.9157
