# Time,MAG_err
,
0.0,19.898
7.8624,19.5406
23.5872,19.8477
31.4496,19.6187
39.312,19.9289
47.1744,19.5369
62.8992,19.7649
70.7616,19.8668
78.624,19.7169
86.4,20.1446
94.2624,19.6133
102.125,20.222
117.85,20.2395
125.712,19.6987
141.437,19.898
186.97,18.9173
194.832,18.697
202.694,18.5335
210.557,18.5224
218.419,18.8541
226.282,18.4653
234.144,18.9331
241.92,18.5429
257.645,18.4665
265.507,19.0399
273.37,18.5791
281.318,18.1561
289.094,18.5065
296.957,18.9717
304.819,18.5745
312.682,18.2975
320.544,18.7442
336.269,18.6734
351.994,18.7621
359.856,18.6079
367.718,18.5783
375.581,18.6999
383.357,18.7615
391.219,18.2968
399.082,18.4448
406.944,19.0485
414.806,18.8102
432.432,18.1202
440.294,18.7582
448.157,18.744
456.019,18.2684
471.744,18.251
479.606,18.8796
487.469,18.7434
495.331,18.7544
503.194,18.7086
511.056,19.1454
518.918,18.3964
526.781,18.5632
534.643,18.5691
542.506,18.4322
550.368,18.3602
558.23,18.5477
566.006,18.2885
581.731,18.5182
589.594,19.1352
718.33,18.53
726.192,18.254
733.968,18.3888
749.693,18.2094
757.555,18.0701
765.418,18.3266
773.28,18.6221
781.142,18.6554
804.73,18.8011
820.454,18.7937
844.042,18.4337
851.904,18.5846
859.766,19.0275
867.629,19.1163
891.13,18.8574
906.854,18.5101
914.717,18.4949
930.442,18.1031
938.304,19.227
946.166,18.4809
954.029,18.9405
977.53,19.0511
993.254,18.7527
1001.12,18.5751
1008.98,18.7847
1024.7,18.6238
1032.57,18.4824
1048.29,19.0787
1071.79,19.078
1079.65,18.6665
1087.52,18.8604
1095.38,18.4005
1103.24,18.7306
1111.1,18.7253
