# Time,MAG_err
,
0.0,19.232
6.9984,18.4373
14.9472,18.9466
22.9824,18.9802
29.9808,18.9444
37.9296,18.7671
45.9648,18.4896
54.0,18.8476
60.9984,18.7777
68.9472,18.8546
76.9824,19.0418
91.9296,18.9503
99.9648,18.6441
108.0,19.1393
115.949,18.6511
122.947,18.6524
130.982,19.0439
138.931,19.1978
146.966,18.843
153.965,18.936
162.0,19.3434
189.994,19.1547
196.992,18.727
204.941,18.9041
220.925,18.613
227.923,19.0314
235.958,19.0112
243.994,19.0004
251.942,18.8249
258.941,19.058
266.976,19.1772
289.958,18.6905
297.994,19.1072
305.942,18.6864
313.978,19.0621
321.926,18.9351
328.925,18.9219
336.96,19.1627
344.995,19.129
352.944,18.94
359.942,18.5417
367.978,18.8227
375.926,18.8368
383.962,18.8777
390.96,18.7942
398.995,18.7152
406.944,18.5189
414.979,18.7992
421.978,18.6358
437.962,18.9119
445.997,18.917
452.995,19.1033
460.944,19.0455
468.979,19.0197
476.928,18.7002
483.926,19.2293
491.962,19.1078
507.946,18.6945
514.944,18.5721
522.979,19.1034
530.928,18.85
538.963,18.593
545.962,18.9068
553.997,18.836
561.946,18.9025
569.981,18.8229
576.979,18.9444
584.928,19.3378
600.998,19.0367
607.997,18.9313
623.981,18.9113
631.93,19.398
638.928,18.7506
646.963,18.984
654.998,18.6727
662.947,18.7391
670.982,19.1398
677.981,18.7981
693.965,18.9469
708.998,18.775
716.947,18.7598
732.931,19.182
739.93,18.8812
747.965,19.0881
756.0,18.7713
