# Time,MAG_err
,
0.0,1.06707
2.0736,1.56321
5.0112,1.58924
8.0352,0.735264
11.0592,-1.71527
13.0464,-0.203993
16.0704,0.117413
19.008,0.0304837
22.032,-0.85266
24.0192,1.07145
27.0432,1.22666
30.0672,-1.19136
33.0048,-0.449333
35.0784,1.03501
38.016,0.901518
41.04,-0.940958
44.064,1.31534
46.0512,1.29291
49.0752,-1.19499
52.0128,-1.0281
55.0368,1.18281
57.024,0.933365
60.048,-1.45541
63.072,0.754793
66.0096,1.29801
67.9968,-0.680147
71.0208,-1.49517
74.0448,0.903197
77.0688,1.73464
79.056,-1.18677
81.9936,0.231589
85.0176,1.02396
88.0416,-0.407299
90.0288,-2.09844
93.0528,0.777353
96.0768,0.662809
99.0144,-0.362619
101.002,-0.180099
104.026,0.777008
107.05,0.799161
110.074,-2.19902
112.061,0.514021
114.998,0.92764
118.022,-0.220937
121.046,-0.513575
124.07,1.16654
126.058,0.8379
128.995,-2.04733
132.019,-0.569063
135.043,1.01262
137.03,0.465098
140.054,-0.832049
143.078,1.00649
146.016,0.806943
148.003,-1.61384
151.027,-1.1845
154.051,0.493468
157.075,1.41496
159.062,-1.04074
162.0,0.739413
165.024,1.1856
168.048,-0.92729
170.035,-1.3116
173.059,0.74273
175.997,1.01878
179.021,-0.924845
181.008,-0.118251
184.032,0.566982
187.056,-0.224755
189.994,-1.92643
192.067,1.17669
195.005,0.896627
198.029,-0.608048
201.053,0.0481452
203.04,1.01056
206.064,0.196644
209.002,-2.39587
212.026,0.237124
214.013,1.66047
217.037,-0.249105
220.061,-0.583417
222.998,0.734646
225.072,0.929668
228.01,-2.03283
231.034,-0.481893
234.058,1.11447
236.045,0.311505
239.069,-0.913978
242.006,1.03156
245.03,1.1269
247.018,-1.14033
250.042,-0.656405
253.066,0.557882
256.003,0.947679
258.077,-2.78967
261.014,1.06112
264.038,0.793101
267.062,-0.283165
270.0,-0.522859
272.074,0.245896
275.011,1.11821
281.059,0.341786
283.046,-0.411067
286.07,-0.802669
289.008,-1.55236
292.032,0.314358
294.019,1.19246
297.043,-0.656226
300.067,0.415534
303.005,0.609953
305.078,0.286363
308.016,-1.70431
311.04,0.421667
314.064,0.775726
316.051,0.28476
319.075,-0.139592
322.013,0.97382
325.037,1.03038
327.024,-1.64485
330.048,-0.113431
333.072,0.672598
336.01,0.348425
337.997,-2.93833
341.021,0.881107
344.045,0.939902
347.069,-1.05516
349.056,-0.405398
351.994,0.65332
355.018,0.915036
358.042,-2.88407
360.029,1.13047
363.053,1.04059
366.077,-0.332318
369.014,-0.418354
371.002,1.04261
374.026,1.76466
377.05,-2.43664
380.074,0.858235
382.061,0.734005
384.998,-0.0297024
388.022,-0.70141
391.046,0.455592
394.07,1.36889
396.058,-1.36551
398.995,0.106599
402.019,-0.102669
405.043,-0.470985
407.03,-2.0104
410.054,0.244505
