# Time,MAG_err
,
0.0,17.6495
3.1968,17.627
6.9984,17.8529
10.7136,17.9624
14.5152,17.6474
18.2304,17.6309
21.9456,17.7207
25.7472,17.5635
29.5488,17.7152
33.264,17.9872
37.0656,17.813
40.7808,17.5394
44.496,17.7589
48.2976,17.7187
52.0128,17.5728
55.8144,17.6126
59.5296,17.8952
63.2448,17.6857
67.0464,17.5728
70.7616,17.7479
74.5632,17.6719
78.3648,17.6053
82.08,17.599
85.8816,17.7411
89.5968,17.7627
93.312,17.8036
97.1136,17.6548
100.829,17.7604
104.63,17.7099
108.346,17.5787
112.147,17.7346
115.862,17.6325
119.664,17.5168
123.379,17.7609
127.181,17.6289
130.896,17.6116
134.611,17.6536
138.413,17.7485
142.128,17.717
145.93,17.6584
149.645,17.6765
153.446,17.7918
157.248,17.6421
160.963,17.5471
164.678,17.835
168.48,17.7389
175.91,17.7353
179.712,17.7653
183.514,17.6767
187.229,17.7862
190.944,17.6615
194.746,17.816
198.547,17.7424
202.262,17.5325
205.978,17.6543
209.779,17.6617
213.494,17.5935
217.296,17.9053
221.011,17.7185
224.813,17.5793
228.614,17.7899
232.33,17.5826
236.045,17.7613
239.846,17.632
243.562,17.5984
247.363,17.7415
251.078,17.6098
254.794,17.7707
258.595,17.8105
262.31,17.6251
266.112,17.6057
269.827,17.9491
273.629,17.7664
277.344,17.5523
281.146,17.5271
284.861,17.7328
288.576,17.8138
292.378,17.6587
296.093,17.5822
299.894,17.6659
303.696,17.6448
307.411,17.6467
311.126,17.8155
314.928,17.7685
318.643,17.5086
322.358,17.9138
326.16,17.8082
329.962,17.6114
333.677,17.651
337.478,17.7647
341.194,17.5405
344.995,17.644
348.71,17.6921
352.426,17.7681
356.227,17.6365
360.029,17.5755
363.744,17.8281
367.459,17.6781
371.261,17.5344
374.976,17.6928
378.778,17.7893
382.493,17.6444
390.01,17.7886
393.811,17.6924
397.526,17.6509
401.328,17.5722
405.043,17.7175
408.758,17.6397
412.56,17.5551
416.275,17.9161
420.077,17.8128
427.594,17.7283
431.309,17.8026
435.11,17.7549
438.826,17.6211
442.627,17.522
446.342,17.7238
450.144,17.7047
453.859,17.6087
457.574,17.831
461.376,17.7939
465.178,17.5864
468.893,17.9852
472.608,17.7455
476.41,17.5676
480.125,17.6757
483.926,17.6705
487.642,17.708
491.443,17.7017
495.158,17.619
498.96,17.7743
502.762,17.701
506.477,17.6106
510.192,17.9215
513.907,17.5912
517.709,17.5562
521.424,17.7299
525.226,17.7139
529.027,17.5958
532.742,17.6585
536.458,17.6335
540.259,17.6806
543.974,17.6677
547.776,17.5247
551.578,17.6809
555.293,17.6793
559.008,17.7025
