# Time,MAG_err
,
0.0,19.562
5.9616,19.453
12.96,19.5845
19.008,19.3322
33.0048,19.3645
40.0032,19.8017
45.9648,19.7179
52.9632,19.5825
59.9616,19.3709
66.96,19.3786
73.9584,19.3472
80.0064,19.7179
87.0048,19.376
94.0032,19.7814
101.002,19.67
106.963,19.5783
113.962,19.5538
120.96,19.7006
127.958,19.7986
134.006,19.4809
148.003,19.4074
155.002,19.4607
167.962,19.3864
174.96,19.4098
181.958,19.4372
195.005,19.3651
202.003,19.5567
209.002,19.278
214.963,19.5807
221.962,19.5024
235.958,19.6438
242.006,19.5463
256.003,19.4051
271.037,19.4108
276.998,19.5581
283.997,19.5846
289.958,19.4131
296.957,19.6877
304.042,19.2809
311.04,19.3943
317.002,19.7051
324.0,19.6086
330.998,19.6227
343.958,19.3926
350.957,19.6148
358.042,19.4229
365.04,19.5985
371.002,19.6985
378.0,19.6347
384.998,19.6328
