# Time,MAG_err
,
0.0,19.9083
3.024,19.5551
5.9616,19.2175
10.0224,18.9984
12.96,19.1116
15.984,19.5219
19.008,19.4147
22.9824,19.8162
26.0064,20.0497
29.0304,19.7228
31.968,19.7241
36.0288,19.1027
38.9664,19.2608
41.9904,19.2021
45.9648,19.3281
48.9888,19.6304
52.0128,19.7946
55.0368,19.3145
59.0112,19.0774
62.0352,19.9828
64.9728,19.7581
67.9968,18.9642
71.9712,19.2621
74.9952,19.0846
78.0192,19.6344
80.9568,19.6702
85.0176,19.1695
87.9552,20.5534
90.9792,19.5462
97.9776,18.9266
101.002,19.5802
106.963,18.9518
111.024,18.8815
113.962,19.4594
116.986,18.7193
123.984,19.7668
127.008,19.6076
130.032,19.3126
139.968,18.4619
142.992,19.2028
146.016,19.3228
149.99,19.5775
158.976,19.1466
163.037,18.9955
165.974,19.3046
168.998,18.5843
172.022,18.4303
175.997,18.588
179.021,18.4792
181.958,18.5628
184.982,18.7833
188.957,18.529
191.981,18.4204
195.005,18.7265
198.979,18.6884
202.003,18.7041
205.027,18.6134
207.965,18.5643
212.026,18.6266
214.963,18.5937
217.987,18.7641
221.011,18.8049
224.986,18.7623
228.01,18.8437
231.034,18.7227
233.971,18.6181
238.032,19.1626
240.97,18.6881
243.994,18.5687
247.018,18.7002
250.992,19.1091
254.016,19.3514
256.954,19.2571
264.038,18.6692
266.976,18.5914
273.024,18.4786
276.998,19.5316
280.022,18.8288
285.984,18.8541
289.958,19.0172
292.982,19.1109
296.006,18.742
299.03,18.6585
303.005,18.714
306.029,18.9222
308.966,18.5449
315.965,18.5126
318.989,18.4101
322.013,18.8348
325.987,18.4706
332.035,18.6029
334.973,18.5311
341.971,20.1566
344.995,18.9497
348.019,19.2266
351.994,19.4631
355.018,19.0196
357.955,18.5328
364.954,18.6779
367.978,19.2086
371.002,19.0499
378.0,18.7461
381.024,18.7198
383.962,19.0435
477.101,19.0706
479.088,18.8736
483.062,18.9718
486.086,18.8052
490.061,19.0767
493.085,19.2774
497.059,18.865
500.083,18.7849
504.058,21.1601
507.082,18.7106
517.104,18.5088
521.078,18.4043
524.102,18.6931
531.101,18.6667
535.075,18.6735
538.099,18.9196
542.074,18.3092
545.098,18.7355
552.096,18.6277
555.12,18.9684
562.118,19.8718
566.093,19.2384
569.117,18.7734
573.091,18.7356
576.115,19.1196
580.09,19.3013
583.114,18.9352
587.088,18.7253
590.112,18.2751
593.136,18.8058
597.11,18.8039
600.134,19.3992
604.109,18.7397
607.133,18.6055
611.107,18.8918
618.106,19.0608
621.13,18.7622
625.104,18.5953
632.102,18.5928
635.126,18.696
642.125,18.5775
649.123,19.1674
652.061,19.2485
656.122,18.5635
659.059,18.9473
673.056,19.1315
676.08,19.0138
727.056,18.7691
731.117,18.8552
734.054,18.5654
738.115,18.6269
745.114,18.4808
748.138,18.3199
752.112,18.4178
755.136,18.89
758.074,18.6343
762.134,18.3451
765.072,18.5487
772.07,18.3566
776.131,18.4913
779.069,18.6013
786.067,18.9488
793.066,18.6179
797.126,18.6584
800.064,18.726
803.088,18.6277
807.062,18.8504
810.086,18.4523
821.059,18.7675
824.083,18.7885
828.058,19.1099
831.082,18.7284
835.056,19.3577
838.08,19.1382
841.104,18.5309
848.102,18.6311
852.077,18.8651
855.101,18.7603
859.075,18.7509
873.072,18.4111
876.096,18.6575
879.12,18.8134
883.094,18.7315
886.118,19.4637
890.093,19.301
893.117,18.7284
897.091,18.8314
900.115,18.6704
961.114,20.0797
964.138,18.452
968.112,18.5916
971.136,18.9933
975.11,18.3297
978.134,18.4487
982.109,18.5615
985.133,18.2958
989.107,18.7636
996.106,18.5257
999.13,18.874
1002.07,18.859
1006.13,18.9972
1009.07,18.5798
1013.13,18.2258
1016.06,18.8224
1020.12,18.5343
1023.06,18.7425
1027.12,18.9543
1030.06,18.9425
1033.08,19.3166
1037.06,18.7093
1040.08,18.7391
1044.06,20.1595
1047.08,18.9758
1051.06,18.5779
1054.08,18.6548
1061.08,19.0531
1065.14,19.1133
1068.08,18.5683
1071.1,18.6187
1075.08,18.6942
1078.1,18.848
1082.07,19.7363
1085.1,19.1368
1089.07,19.1536
1092.1,18.8587
1096.07,19.0347
