# Time,MAG_err
,
0.0,0.0356868
1.9872,-0.205854
4.9248,0.487793
7.9488,-0.254913
9.936,-0.385934
12.96,0.439173
15.984,-0.13328
18.9216,-0.279006
20.9952,0.292744
23.9328,0.0450542
29.9808,0.0474049
31.968,0.289546
34.992,-0.236325
37.9296,-0.197447
40.9536,0.0842074
42.9408,-0.00514743
45.9648,-0.281021
48.9888,-0.133595
51.9264,0.346149
54.0,-0.14909
56.9376,-0.23263
59.9616,0.580436
65.9232,-0.251194
67.9968,0.486126
70.9344,-0.0936849
73.9584,-0.256377
76.9824,0.295465
78.9696,0.0588251
81.9936,-0.349293
84.9312,-0.0290389
87.9552,0.241205
89.9424,-0.236204
92.9664,-0.238171
95.9904,0.0592155
98.928,-0.00325392
101.002,-0.285442
103.939,-0.115524
106.963,0.361189
109.987,-0.115336
111.974,-0.215647
114.998,0.603475
117.936,-0.117851
122.947,0.59259
125.971,-0.0392044
128.995,-0.26635
131.933,0.332022
133.92,0.0184029
136.944,-0.365723
139.968,-0.0369357
142.992,0.226329
144.979,-0.299168
148.003,-0.252763
150.941,0.0247379
153.965,-0.0348551
155.952,-0.299373
158.976,-0.165413
162.0,0.34408
164.938,-0.161707
166.925,-0.191441
169.949,0.653017
172.973,-0.105324
175.997,-0.238429
178.934,0.544458
180.922,-0.0359489
183.946,-0.203235
186.97,0.363334
189.994,0.109383
191.981,-0.294944
194.918,0.0289668
197.942,0.261873
200.966,-0.247528
202.954,-0.213884
205.978,0.0637746
209.002,0.0139647
211.939,-0.289665
213.926,-0.106053
216.95,0.34855
219.974,-0.129055
222.998,-0.263925
224.986,0.552066
227.923,-0.160306
230.947,-0.270068
233.971,0.473039
235.958,-0.129352
238.982,-0.315282
241.92,0.229491
244.944,-0.0358706
304.733,0.651561
306.72,-0.180596
308.794,-0.233004
310.781,0.0188158
313.718,-0.322828
315.792,0.230381
317.779,-0.413945
320.803,0.268797
322.79,-0.195989
325.728,-0.183378
327.802,0.671693
329.789,-0.191169
332.726,-0.10644
334.8,-0.0358917
336.787,-0.291859
339.725,0.293819
341.798,-0.345335
343.786,0.334327
346.723,-0.134797
348.797,-0.16919
350.784,0.684391
353.722,-0.150248
355.795,-0.0709201
358.733,-0.0662274
360.72,-0.252559
362.794,0.379788
365.731,-0.378889
367.718,0.367277
369.792,-0.189808
372.73,-0.188646
374.803,0.684221
376.79,-0.248089
379.728,-0.12405
381.802,-0.11134
383.789,-0.240339
386.726,0.384005
388.8,-0.347995
390.787,0.424566
393.725,-0.16227
395.798,-0.264208
398.736,0.623809
400.723,-0.266271
402.797,-0.119055
405.734,-0.230303
407.722,-0.162652
409.795,0.256014
414.72,0.449855
416.794,-0.149234
419.731,-0.311921
421.718,0.532926
423.792,-0.25682
426.73,-0.0820873
428.803,-0.279911
431.741,-0.130189
433.728,0.287271
435.802,-0.299244
438.739,0.536462
440.726,-0.0524077
442.8,-0.247975
445.738,0.505862
447.725,-0.318269
449.798,-0.0382134
452.736,-0.287596
454.723,-0.0273114
456.797,0.261588
459.734,-0.238741
461.722,0.561058
463.795,-0.039153
466.733,-0.248021
468.72,0.462437
471.744,-0.297388
473.731,-0.0036746
475.718,-0.336051
478.742,-0.0359449
480.73,0.156612
482.803,-0.199258
485.741,0.602194
487.728,-0.0970309
489.802,-0.318241
540.778,0.655135
544.838,-0.320325
547.776,0.311145
549.85,-0.373094
552.787,-0.0934182
554.774,-0.15608
557.798,-0.325538
559.786,0.287827
562.81,-0.367035
564.797,0.107525
566.784,0.0782847
569.808,-0.251215
571.795,0.502372
574.819,-0.105898
576.806,-0.235704
579.83,0.691131
581.818,-0.0338204
584.842,-0.223368
586.829,0.317445
589.853,-0.327354
591.84,0.0300833
593.827,-0.189957
596.851,-0.188876
598.838,0.330744
601.776,-0.362454
603.85,0.211687
606.787,-0.0364472
608.774,-0.199532
611.798,0.547899
613.786,-0.124249
616.81,-0.24577
618.797,0.67592
621.821,-0.128941
623.808,-0.183322
625.795,0.210196
628.819,-0.348808
630.806,0.0250219
633.83,-0.20515
635.818,-0.15168
640.829,-0.302313
643.853,0.26911
645.84,-0.0597158
647.827,-0.150716
650.851,0.638497
652.838,-0.0717555
655.776,-0.180588
657.85,0.634538
660.787,-0.125345
662.774,-0.126818
665.798,0.130353
667.786,-0.300598
670.81,0.106469
672.797,-0.286213
675.821,-0.125834
677.808,0.288287
679.795,-0.388921
682.819,0.234971
684.806,-0.115636
687.83,-0.212518
689.818,0.564822
692.842,-0.0938274
694.829,-0.240593
697.853,0.530003
699.84,-0.188583
702.778,-0.0576314
704.851,0.0490223
706.838,-0.277619
709.776,0.156709
711.85,-0.246803
714.787,-0.000232827
716.774,0.366317
719.798,-0.251031
721.786,0.339371
724.81,-0.236
726.797,-0.303513
729.821,0.498074
731.808,-0.205586
