# Time,MAG_err
,
0.0,15.3316
3.8016,15.1968
7.6896,15.5106
11.5776,14.6597
15.4656,14.9189
19.2672,14.725
27.0432,14.9754
30.8448,15.2245
34.7328,15.4443
38.6208,15.3661
50.1984,14.5902
54.0,14.9713
57.888,15.043
61.776,15.101
65.5776,15.3512
69.4656,15.3847
73.3536,15.2137
77.2416,14.8499
81.0432,14.8184
88.8192,14.6601
92.7072,15.0855
96.5952,15.3672
100.397,15.3115
104.285,15.2339
108.173,15.0681
111.974,14.6367
115.862,14.8133
119.75,15.0929
127.44,15.3462
131.328,15.1696
147.744,14.5818
151.546,14.629
159.322,15.3048
163.123,15.3659
167.011,15.2714
170.899,15.0826
174.787,14.774
178.675,14.7393
182.477,14.9861
186.365,14.7924
190.253,15.2455
194.141,15.2358
197.942,15.4614
205.718,14.8964
209.52,14.7205
213.408,14.227
217.296,14.8886
221.184,15.2006
225.072,15.4364
228.874,15.3377
232.762,15.1642
236.65,14.9458
240.451,14.253
244.339,14.8632
248.227,15.1057
252.115,14.9641
256.003,15.385
259.805,15.3022
263.693,15.2469
267.581,14.7223
271.382,14.7538
275.27,14.5975
279.158,14.6545
283.046,15.0691
286.934,15.318
290.736,15.3664
294.624,15.2103
302.4,14.6736
306.202,14.7424
310.09,15.0183
313.978,14.4673
321.667,15.1306
325.555,15.4347
329.443,14.5781
333.245,14.9372
344.822,14.9243
348.71,15.2161
352.598,15.4195
356.486,15.3149
360.288,15.0932
364.176,14.8841
368.064,14.5947
372.816,14.9411
376.704,14.914
384.48,15.233
388.368,15.4151
392.17,14.9351
396.058,14.8927
399.946,14.6943
403.834,14.2772
407.722,14.7869
411.523,15.1302
415.411,15.4227
419.299,15.3354
423.101,15.1261
426.989,14.9123
430.877,14.2215
434.678,14.9003
438.566,15.1145
442.454,14.8312
446.342,15.3213
450.144,15.1999
454.032,15.266
458.87,14.8852
462.758,14.7319
466.56,14.5016
470.448,14.7194
474.336,15.107
478.138,15.3944
482.026,15.305
485.914,15.1699
489.802,15.014
493.603,14.5504
497.491,14.7867
501.379,15.05
505.267,14.3424
512.957,15.1267
516.845,15.3903
520.733,14.2925
524.534,14.8842
528.422,14.6199
532.31,14.5316
536.112,14.945
540.0,15.2554
543.888,15.3085
551.578,15.0551
555.466,14.7606
559.354,14.6569
663.984,15.0071
668.131,15.2975
672.278,15.2885
676.512,15.1365
680.659,15.01
684.806,14.255
688.954,14.8461
693.187,15.0541
697.334,15.0556
701.482,15.3271
705.629,15.407
713.923,14.9091
718.157,14.6447
722.304,14.1766
726.451,14.9407
730.598,15.2414
734.832,15.3764
738.979,15.2406
743.126,15.0584
747.274,14.618
751.507,14.7419
755.654,15.0524
759.802,14.5084
763.949,15.3742
768.096,15.2576
772.33,15.1225
776.477,14.8491
780.624,14.7387
784.771,14.4974
789.005,14.802
793.152,15.1237
797.299,15.3638
801.446,15.2939
805.594,15.0759
809.827,14.7703
813.974,14.6416
818.122,14.9625
822.269,14.4383
826.502,15.2362
830.65,15.1251
834.797,15.3467
838.944,14.4373
843.091,14.7546
847.238,14.529
851.472,14.6137
855.619,15.0894
859.766,15.3737
863.914,15.2973
868.061,15.1123
872.208,14.8539
884.736,14.9477
888.97,15.1797
893.03,15.1731
897.264,15.4166
901.411,14.4721
905.558,14.843
909.706,14.5616
918.086,14.9849
922.234,15.3296
930.528,15.1205
934.675,14.9502
938.909,14.1769
943.056,14.7873
947.203,15.0204
951.35,14.9297
955.584,15.277
959.731,15.38
972.173,14.6587
976.406,14.1709
980.554,14.8724
988.848,15.3168
993.082,15.2598
997.229,15.0101
1001.38,14.6087
1005.52,14.6677
1009.67,15.0092
1018.05,15.327
1022.2,15.2088
1026.43,15.1842
1030.58,14.7925
1034.73,14.7017
1038.96,14.4158
1043.11,14.7669
1047.25,15.1615
1051.4,15.335
1055.64,15.264
1059.78,15.0281
1068.08,14.6288
1076.46,14.4236
1080.6,15.262
1084.75,15.0806
1088.9,15.3414
1093.05,14.3577
1097.28,14.7522
1101.43,14.5128
1105.57,14.6148
1109.81,15.0881
1113.96,15.3712
1118.1,15.2841
1122.25,15.0963
1126.48,14.8513
1130.63,14.5374
1134.78,14.9173
1138.92,14.9414
1143.07,15.1357
1147.31,15.1554
1151.54,15.4096
1155.69,14.4398
1159.83,14.8327
1163.98,14.566
1168.13,14.5316
1172.36,14.9671
1176.51,15.3782
