# Time,MAG_err
,
0.0,0.14793
1.9872,0.13961
5.0112,0.0798361
6.9984,-0.107408
10.0224,-0.284036
13.0464,-0.260724
15.984,-0.199731
18.0576,-0.0383171
20.9952,0.0981572
24.0192,0.117483
27.0432,-0.0963606
29.9808,-0.330277
32.0544,0.207925
34.992,0.331386
38.016,0.280396
41.04,0.389847
43.0272,0.429232
46.0512,0.334654
48.9888,0.0870035
52.0128,-0.549512
54.0,-0.0898301
57.024,0.0061862
60.048,-0.0863514
62.9856,-0.184515
65.0592,-0.35354
67.9968,-0.78994
71.0208,-0.404857
74.0448,-0.234999
76.032,0.0307987
79.056,0.122788
81.9936,0.205041
85.0176,0.359906
87.0048,0.40229
90.0288,0.4662
93.0528,0.358963
95.9904,0.200373
97.9776,0.127297
101.002,0.00428323
104.026,-0.195399
107.05,-0.414925
109.037,-0.400871
112.061,-0.322013
114.998,-0.105055
118.022,0.0089945
120.01,0.0403269
123.034,-0.201104
126.058,-0.325404
128.995,0.222739
130.982,0.395477
134.006,0.345239
137.03,0.409095
140.054,0.461368
142.042,0.35383
144.979,0.063717
148.003,-0.507771
151.027,-0.0131406
153.014,0.0585989
156.038,-0.023229
159.062,-0.145067
162.0,-0.31836
165.024,-0.807097
167.011,-0.406257
170.035,-0.213453
173.059,-0.0299229
175.997,0.144667
177.984,0.149337
181.008,0.328249
184.032,0.357934
187.056,0.369213
245.981,-0.234074
249.005,0.0741054
250.992,0.0159701
254.016,-0.0719741
257.04,-0.234533
259.978,-0.321508
262.051,-0.371467
264.989,-0.297531
268.013,-0.0239179
271.037,0.1078
273.024,0.263282
276.048,0.344563
278.986,0.379496
282.01,0.46716
283.997,0.490114
287.021,0.290404
290.045,0.196554
292.982,0.0552269
295.056,-0.0954952
297.994,-0.319571
301.018,-0.666987
304.042,-0.347849
306.979,-0.256664
309.053,-0.0665865
311.99,0.0384696
315.014,-0.0351072
318.038,-0.66213
320.026,-0.0155094
323.05,0.258862
325.987,0.348158
329.011,0.320583
330.998,0.463765
334.022,0.426041
337.046,0.196646
339.984,-0.162568
342.058,-0.188268
344.995,0.0442038
348.019,0.0297815
351.043,-0.0834589
353.03,-0.282535
356.054,-0.380634
358.992,-0.42045
362.016,-0.333124
364.003,-0.0518089
367.027,0.0654406
370.051,0.224833
372.989,0.336334
375.062,0.360818
378.0,0.427073
381.024,0.357284
384.048,0.220763
386.035,0.121882
389.059,0.00545928
391.997,-0.157059
395.021,-0.368807
397.008,-0.683171
400.032,-0.353042
403.056,-0.250466
405.994,-0.108878
407.981,-0.0207715
414.029,-0.663695
417.053,0.0187527
419.04,0.271973
421.978,0.322326
425.002,0.339029
428.026,0.4714
431.05,0.398339
433.037,0.193552
436.061,-0.215164
438.998,-0.143911
442.022,0.0513438
444.01,0.0640688
447.034,-0.0618263
450.058,-0.258274
454.982,-0.364701
458.006,-0.277015
461.03,-0.00283754
468.979,0.385353
472.003,0.34677
475.027,0.494218
477.014,0.402179
480.038,0.199808
483.062,0.16305
486.0,0.0176733
487.987,-0.13148
491.011,-0.401867
494.035,-0.651778
497.059,-0.383822
499.046,-0.182578
501.984,-0.0648984
505.008,-0.0188051
508.032,-0.106552
510.019,-0.668569
513.043,0.0768723
515.981,0.305222
519.005,0.29977
522.029,0.312045
524.016,0.445855
527.04,0.33193
529.978,0.154201
533.002,-0.321976
534.989,-0.19409
538.013,0.0152821
541.037,0.00772296
544.061,-0.114048
546.048,-0.294197
548.986,-0.403666
552.01,-0.35708
555.034,-0.233438
557.021,-0.0135144
560.045,0.177028
562.982,0.285984
566.006,0.389283
567.994,0.369008
571.018,0.520249
574.042,0.419089
576.979,0.219104
579.053,0.152207
581.99,0.00311787
585.014,-0.135617
588.038,-0.377464
590.026,-0.544405
593.05,-0.371456
595.987,-0.207189
599.011,-0.0509656
600.998,0.0192942
604.022,-0.131812
607.046,-0.677587
609.984,0.0623043
612.058,0.267873
614.995,0.266382
618.019,0.293523
621.043,0.397069
623.03,0.347173
626.054,0.0935701
628.992,-0.407366
632.016,-0.108706
634.003,0.0772534
637.027,0.0442385
640.051,-0.0458803
642.989,-0.132633
645.062,-0.192269
648.0,-0.0597168
651.024,0.218331
