# Time,MAG_err
,
0.0,-0.0161342
3.888,0.0728171
7.776,-0.12711
11.5776,-0.0215606
15.4656,0.158449
19.3536,-0.0341549
23.1552,-0.0649042
27.0432,0.0970809
30.9312,-0.00738577
34.7328,-0.108176
38.6208,0.106103
42.5088,-0.0288604
46.3104,-0.127512
50.1984,0.0630376
54.0864,0.0101591
61.776,0.0716374
65.5776,0.0853961
69.4656,-0.197422
73.3536,0.111327
77.1552,0.0654966
81.0432,-0.156556
84.9312,0.0887829
88.7328,0.0662841
92.6208,-0.170637
96.5088,0.0365273
100.31,0.0727483
104.198,-0.116212
108.086,0.0075406
111.888,0.116257
115.776,-0.0514936
119.578,-0.074772
123.466,0.0667101
127.267,-0.0212679
131.155,-0.133848
135.043,0.136991
138.845,0.00471541
142.733,-0.146251
146.621,0.117969
150.422,0.0834667
154.31,-0.132745
158.112,0.136668
162.0,0.0722454
165.888,-0.128657
169.69,0.0618177
173.578,0.0777663
177.466,-0.123718
181.267,-0.00741411
185.155,0.0955483
189.043,-0.110557
192.845,0.00318629
196.733,0.121059
200.621,-0.0945164
204.422,-0.0326931
208.31,0.130495
212.112,-0.0457602
216.0,-0.0893242
219.888,0.0964497
223.69,0.0312508
227.578,-0.182026
231.466,0.0976289
235.267,0.0485254
239.155,-0.135041
242.957,0.126467
246.845,0.0372089
250.733,-0.168891
254.534,0.126649
258.422,0.0431044
262.31,-0.146189
266.198,0.081467
270.0,0.0857616
273.888,-0.125551
277.776,0.0377663
281.664,0.0888993
285.466,-0.145889
289.354,0.0289375
293.242,0.0771107
297.043,-0.157038
300.931,-0.0210592
304.819,0.0805764
308.707,-0.0956451
312.509,0.0236176
316.397,0.064254
320.285,-0.00576377
324.086,-0.0795516
331.776,0.00161152
335.664,-0.116863
339.552,0.131312
343.44,0.0230409
351.13,0.122516
354.931,0.0384575
358.819,-0.143043
362.707,0.13362
366.509,0.0160242
370.397,-0.174387
374.285,0.0907836
379.037,-0.0511671
382.925,0.129295
386.813,-0.0692343
390.614,-0.0293956
394.502,0.0746145
398.39,-0.0356402
402.192,-0.079052
406.08,0.104243
409.968,-0.011119
413.77,-0.0771123
417.658,0.150722
421.546,-0.001201
425.434,-0.081604
429.235,0.119284
433.123,0.0278493
437.011,-0.109171
440.813,0.12006
444.701,0.0437411
448.589,-0.124842
456.278,0.0625286
460.166,-0.191114
463.968,0.0304113
467.942,0.0799302
471.744,-0.168918
475.632,0.00592805
479.52,0.108698
483.322,-0.0861559
602.035,0.069674
611.366,-0.0411271
615.6,0.0775607
619.747,-0.0515764
623.894,0.095296
628.042,-0.0454073
632.189,0.105537
636.336,-0.0642605
640.483,0.0410699
644.717,-0.0605178
648.778,0.056827
653.011,-0.0714998
661.306,-0.0892343
665.453,0.0433396
669.6,-0.0373009
673.747,0.0839393
677.894,-0.089319
682.042,0.0958813
686.189,-0.0602491
690.422,0.0937219
694.57,-0.0495817
698.717,0.0868717
702.864,-0.0881317
711.158,-0.0602114
719.539,-0.0730226
723.686,0.0526751
727.834,-0.0980459
732.067,0.0604887
736.214,-0.0276455
740.362,0.0709517
744.509,-0.0800711
748.656,0.106871
752.89,-0.0391371
757.037,0.0796885
761.184,-0.0567068
765.331,0.048014
769.478,-0.0781559
773.626,0.0581684
777.859,-0.0691104
782.006,0.0789342
786.154,-0.030845
790.301,0.0271106
794.448,-0.0548987
798.595,0.0423447
802.742,-0.0469849
806.976,0.087654
811.123,-0.0607656
816.221,-0.0594608
820.368,0.010102
828.662,0.0293974
832.896,0.0147771
837.043,0.0421335
841.19,-0.0295168
845.338,0.0398483
849.485,-0.0130616
862.013,0.0423533
866.16,-0.0556516
870.307,0.0245486
874.454,-0.0424718
878.602,0.0379379
882.749,-0.0304212
886.896,0.0678466
896.227,-0.0197941
900.374,-0.000482494
904.522,-0.000590193
908.669,-0.0160112
912.816,0.00511901
916.963,-0.0325684
929.491,0.0194758
933.638,-0.0341477
937.786,0.00467614
942.019,-0.0191527
946.166,0.0129305
950.314,-0.016572
954.461,0.0239555
958.608,-0.0368323
962.755,0.00227731
971.136,0.019926
975.283,-0.0242895
979.43,0.0331991
991.872,-0.0126279
996.106,0.0206942
1000.25,-0.0366857
1004.4,0.0596753
1008.55,-0.0252852
1012.69,0.0394404
1016.93,-0.0242407
1021.08,0.0505095
1025.22,-0.0357158
1029.37,0.0315628
1037.75,0.049925
1041.9,-0.0572205
1046.04,0.0323966
1050.19,-0.111833
1054.43,0.0225897
1058.57,-0.0672005
1062.72,0.0446887
1066.87,-0.0528174
1071.01,0.0814017
1075.16,-0.0548403
1079.4,0.0906126
1087.69,0.0183415
1091.84,-0.0660987
1096.07,0.0752519
1100.22,-0.0817341
1104.36,0.0499632
1108.51,-0.0498646
1112.66,0.0375128
1116.89,-0.0673657
1121.04,0.0577086
1125.19,-0.0590346
1129.33,0.0669041
1133.48,-0.0659219
1137.63,0.078006
1141.78,-0.0703014
1146.01,0.113531
1150.16,-0.0355204
1158.45,-0.0710657
1162.68,0.083411
1166.83,-0.0418373
1170.98,0.0478932
1175.13,-0.0796337
1179.27,0.0455133
1183.51,-0.0622546
1187.65,0.0469551
