# Time,MAG_err
,
0.0,13.6556
4.1472,13.8399
8.2944,12.4699
12.3552,14.2717
16.5024,12.67
20.6496,13.2295
28.8576,12.2127
33.0048,14.0459
37.0656,13.1031
41.2128,12.9581
53.6544,13.6079
57.7152,14.0858
61.8624,12.2714
66.0096,14.1332
70.1568,12.9326
74.304,13.1615
78.3648,14.6428
86.6592,13.7513
90.72,13.3297
94.8672,12.7245
99.0144,14.5007
103.162,12.2723
107.222,13.5024
111.37,14.3208
115.517,12.1486
119.578,14.0068
123.725,13.1033
127.872,13.025
132.019,14.7277
136.166,12.2085
140.227,13.6914
144.374,13.5326
148.522,12.5929
152.582,14.3879
156.73,12.4181
160.877,13.4236
164.938,14.5709
173.232,13.9114
177.293,13.2537
181.44,12.9681
185.587,14.7299
193.795,13.6352
197.942,13.6981
202.09,12.4446
206.237,14.3011
210.298,12.6016
214.445,13.2927
218.592,14.7757
222.739,12.029
226.886,13.7715
230.947,13.4662
235.094,12.7376
239.242,14.4942
243.389,12.3853
247.45,13.4916
251.597,14.0018
255.744,12.2453
259.891,14.1598
264.038,12.8408
268.099,13.1361
272.246,14.8062
276.394,12.0317
280.541,13.6703
284.602,13.7283
288.749,12.4426
292.896,14.2952
297.043,12.5935
301.104,13.373
305.251,14.3462
309.398,12.1956
313.546,14.0357
325.987,14.6334
330.048,12.1388
354.845,13.1876
367.2,13.8816
371.347,13.3417
375.408,12.747
379.555,14.5046
383.702,12.3027
387.763,13.537
391.91,14.3579
396.058,12.168
404.352,13.1705
408.413,13.0656
412.56,14.7516
416.707,12.2489
420.854,13.7898
424.915,13.603
429.062,12.5618
433.21,14.3573
437.357,12.497
441.418,13.3919
445.565,14.6912
449.712,12.0765
453.859,13.8919
457.92,13.3849
470.362,12.3436
478.57,13.94
486.864,14.2934
507.427,13.7943
519.869,14.5082
532.224,14.2068
536.371,12.319
540.432,14.2343
544.579,12.9719
548.726,13.1721
552.874,14.9147
