# Time,MAG_err
,
0.0,0.0236483
4.1472,0.0175174
8.2944,0.0083958
12.3552,0.00758317
16.5024,-0.00560525
20.6496,0.00932621
24.7104,-0.0469775
28.8576,0.0370953
33.0048,0.00938326
37.0656,-0.00759709
41.2128,0.0178324
45.36,0.00129786
49.4208,-0.0144631
53.568,0.0433198
57.7152,0.0182153
61.776,-0.0164453
65.9232,0.0154288
70.0704,0.0115581
74.1312,0.0140243
78.2784,0.00891982
82.4256,0.0205965
86.4864,-0.00497712
90.6336,0.011045
94.7808,-0.00135235
98.8416,0.0125041
102.989,-0.0326207
107.136,-0.0104877
111.197,0.00526812
115.344,-0.000990001
119.491,-0.00140786
123.552,0.000615726
127.699,0.0224938
131.846,-0.0121479
135.994,0.0121529
140.054,-0.00293899
144.202,0.00566193
148.349,0.0168407
152.496,-0.0649047
156.557,-0.00220357
160.704,-0.0184164
164.851,-0.0296195
168.998,-0.0277059
173.059,-0.0299238
177.206,-0.023587
181.354,-0.0147197
185.501,-0.00551834
189.648,-0.0203428
193.709,-0.00293611
197.856,0.0156108
202.003,-0.00647877
206.064,-0.000947308
210.211,-0.0373155
214.358,0.014112
218.419,-0.0420759
222.566,0.00811151
226.714,-0.0357698
230.774,-0.0561189
234.922,-0.0151567
239.069,-0.0286083
243.216,-0.0103856
247.277,-0.0107907
251.424,-0.0154819
255.571,-0.0176811
259.632,-0.0255769
263.779,-0.0159182
267.926,-0.0233882
271.987,-0.0238737
276.134,-0.00190441
280.282,-0.00743198
284.429,-0.0352085
288.49,-0.00910941
292.637,-0.0545695
296.784,-0.0442612
300.845,-0.00460356
304.992,-0.00298096
309.139,-0.00548745
313.286,-0.0510174
317.347,-0.00641333
321.494,0.00543019
325.555,-0.0186472
329.702,-0.0209031
333.85,-0.0563586
337.997,-0.0365869
342.144,-0.023391
346.205,-0.0170226
350.352,-0.00317814
354.499,-0.0566442
358.56,-0.0186515
362.707,-0.0334768
366.854,-0.0309615
371.002,0.00988396
375.062,0.00883013
379.21,-0.0347702
383.357,-0.0222442
387.418,-0.00821456
391.565,-0.00796653
395.712,-0.0286657
399.859,-0.0029813
404.006,-0.00825675
408.067,-0.000846762
412.214,-0.012898
416.362,-0.00365257
420.422,-0.00982593
424.57,-0.013959
428.717,0.00856069
432.864,-0.00475725
437.011,0.0426738
441.072,0.0107857
445.219,0.0236148
449.366,-0.00856757
453.514,0.00377424
457.574,0.0484993
461.722,0.0213417
465.869,0.00347896
469.93,0.0681223
474.077,0.028601
478.224,0.053023
482.285,0.0322004
486.432,0.00889336
490.579,0.00566955
494.64,0.036681
498.787,0.0367835
502.934,0.00692543
507.082,0.00712745
511.142,0.0615973
515.29,0.0318697
519.437,0.00904525
523.584,0.0473761
527.645,0.0433285
531.792,0.0311479
632.102,0.031183
635.904,0.0355695
639.706,0.0547175
643.507,0.0369499
647.395,0.0393474
651.197,0.0316318
654.998,0.0571608
658.8,0.0134004
662.688,0.00651902
666.49,0.0148448
670.291,0.0247014
674.093,0.0104114
677.894,0.0408752
681.782,0.00618773
685.584,0.0206294
689.386,0.0144224
693.187,0.00662385
697.075,0.0129016
700.877,-0.00454142
704.678,-3.58265e-05
708.48,0.0264638
712.282,0.0431716
716.17,0.00799833
719.971,-0.0109637
723.773,-0.0186158
727.574,0.030017
731.376,0.0161032
735.264,-0.00122558
739.066,0.0493609
742.867,0.0241859
746.669,0.0213833
750.557,-0.000589603
754.358,0.0195129
758.16,0.00604522
761.962,0.0330497
765.763,-0.00165267
769.651,0.00210016
773.453,0.0126052
777.254,0.019106
781.056,-0.00783028
784.944,0.0137153
788.746,0.00754513
792.547,-0.00404715
796.349,0.0169903
800.15,-0.0292548
803.952,0.0266073
807.84,0.0200986
811.642,0.0453281
815.443,0.0396843
819.245,0.00321197
823.046,0.0338726
826.934,0.0078744
830.736,0.0563875
834.538,0.00891703
838.339,0.0586889
842.227,-0.001892
846.029,0.0280982
849.83,0.0195927
853.632,0.00646023
857.52,-0.0252956
861.322,-0.00691743
865.123,-0.00131898
868.925,-0.00492503
872.813,-0.0111404
876.614,0.0149815
880.416,-0.010407
884.218,0.0443101
888.106,-0.00881192
891.907,0.0061368
895.709,-0.00250279
899.597,0.0318926
903.398,0.046043
907.2,0.0300293
911.088,-0.00299572
914.89,-0.011131
918.691,-0.0293511
922.493,0.00577738
926.381,-0.0128633
930.182,-0.0494932
933.984,0.00497425
937.786,-0.0256508
941.587,-0.0128899
945.475,-0.0245726
949.277,-0.0197531
953.078,-0.0534353
956.88,-0.0443082
960.682,-0.00300419
964.483,-0.0101477
970.272,0.0226444
974.16,-0.0170755
977.962,-0.0134594
981.763,-0.00592771
985.565,-0.0356125
989.453,-0.00288683
993.254,-0.00741113
997.056,0.00956235
1000.86,-0.0138967
1004.75,-0.0321289
1008.55,-0.0218604
1012.35,0.0181562
1016.15,-0.0299888
1020.04,0.0213105
1023.84,-0.0146752
1027.64,-0.00877971
1031.44,-0.018598
1035.33,-0.0519081
1039.13,-0.0128368
1042.93,-0.00825887
1046.74,-0.0131848
1050.54,-0.0109576
1054.34,0.0215292
1058.23,0.010078
1062.03,0.0435134
1065.83,0.0261909
1069.63,-0.0155903
1073.52,-0.0495465
1079.31,-0.00317215
1083.11,0.0134632
1086.91,-0.0400942
1090.8,0.0180241
1094.6,-0.00889876
1098.4,0.000177901
1102.2,0.0143903
1106.09,-0.0189181
1109.89,-0.0286966
1113.7,-0.00982932
1117.58,0.0262327
1121.39,-0.00737932
1125.19,-0.00305871
1129.08,-0.0305264
1132.88,0.0208746
1136.68,-0.177183
1140.48,-0.0468238
1144.37,0.010558
1148.17,-0.0266486
1151.97,0.00744252
1155.86,-0.0588702
1159.66,-6.31311e-05
1163.46,-0.0060692
1167.35,0.00555855
1171.15,0.0316483
1174.95,-0.0114943
1178.84,0.00132764
1182.64,0.00555657
1186.44,0.0200472
1190.33,-0.0131525
1194.13,-0.0162681
1197.94,-0.0154555
1201.74,0.0131387
1205.63,0.0369743
