# Time,MAG_err
,
0.0,17.5463
4.752,17.6603
9.5904,17.4741
14.4288,17.832
19.1808,17.7721
24.0192,18.1534
28.7712,17.8886
33.6096,18.3335
38.448,18.0537
43.2,18.4909
48.0384,18.2549
52.7904,18.3541
57.6288,18.5532
62.3808,18.3824
67.2192,18.5528
71.9712,18.5985
76.8096,18.599
81.5616,18.3412
86.4,18.5843
91.2384,18.2944
96.0768,18.3553
100.829,18.4996
105.667,17.9504
110.419,17.0792
115.258,18.0
120.096,18.4147
124.848,18.4251
129.686,17.6413
134.438,18.5748
139.277,18.3376
144.029,18.2643
148.867,18.4201
153.706,18.5511
158.458,18.3834
163.296,18.0368
168.048,18.5813
172.886,18.3876
177.725,18.375
182.477,18.5721
187.315,18.2506
192.154,18.3222
196.906,18.1153
201.744,18.0948
206.496,17.9962
211.334,17.619
216.173,18.0706
220.925,17.9725
235.354,18.0336
240.192,17.958
244.944,18.1738
249.782,18.2003
254.621,18.3807
259.373,18.5804
264.211,18.1335
268.963,18.5171
273.802,18.0269
278.64,18.2997
283.392,18.6504
288.23,18.783
292.982,18.2963
297.821,18.4756
302.659,18.897
307.411,18.6659
312.25,18.5169
317.088,18.2399
321.84,18.0692
326.678,18.3935
331.517,18.1131
336.269,18.2604
341.107,18.1418
345.859,17.9951
350.698,17.6928
355.536,17.9812
360.288,17.8786
365.126,17.7749
369.965,17.742
374.717,17.7573
379.555,17.7535
384.307,17.7813
389.146,17.8785
393.984,17.9542
398.736,17.7152
403.574,17.7017
408.326,17.7806
413.165,17.9326
418.003,17.7062
422.755,17.9475
427.594,17.7457
432.432,18.0039
437.27,18.0468
442.022,18.5578
446.861,18.4744
451.699,18.6659
456.451,18.4731
461.29,18.186
466.042,18.1162
470.88,18.0269
475.718,18.2534
480.47,18.3917
485.309,18.1531
490.147,18.748
494.899,18.4858
499.738,18.3443
504.576,18.376
509.328,18.1205
514.166,18.2336
518.918,18.0728
523.757,18.3745
528.595,18.6185
533.347,18.0887
538.186,18.2764
543.024,17.9862
547.776,17.8744
552.614,18.048
557.453,17.9118
562.205,17.9784
567.043,18.0315
571.795,18.034
576.634,18.3258
581.472,18.194
586.224,18.4364
591.062,18.4613
595.901,17.9845
600.653,18.2951
605.491,18.2065
610.243,18.1176
615.082,17.8717
619.92,17.8276
624.672,18.0135
629.51,17.7223
634.349,17.6114
639.101,17.5945
643.939,17.6418
648.778,17.576
653.53,17.516
658.368,17.3093
663.12,17.5394
667.958,17.3387
672.797,17.5082
677.635,17.4823
682.387,17.7306
687.226,17.8184
691.978,17.5505
696.816,17.4198
701.654,17.3368
706.406,17.3212
711.245,17.584
716.083,17.1845
926.899,17.4246
931.997,17.3858
937.181,17.6121
942.278,17.6303
947.462,17.5577
952.56,17.5896
957.658,17.6679
962.842,17.62
967.939,17.8661
973.123,17.5793
978.221,17.8087
983.405,17.7691
988.502,17.7101
993.686,17.7138
998.784,17.6989
1003.97,17.6257
1009.07,17.6918
1014.16,17.6532
1019.35,17.4572
1024.44,17.4008
1029.63,17.1869
1034.73,17.5772
1039.82,17.3714
1045.01,17.5254
1050.11,17.4707
1055.29,17.5922
1060.39,17.5098
1065.57,17.5797
1070.67,17.662
1075.77,17.5749
1080.95,17.6373
1086.05,17.5746
1091.23,17.5774
1096.33,17.6906
1101.51,17.6111
1106.61,17.1594
1111.8,17.7864
1116.89,17.518
1122.08,17.5932
1127.17,17.6832
1132.27,17.6681
1137.46,17.47
1142.55,17.6871
1147.74,17.6266
1152.84,17.7921
1158.02,17.8289
1163.12,17.9953
1168.3,17.6548
1173.4,17.6011
1178.58,17.2446
1183.68,17.4011
1188.78,17.5888
1193.88,17.5048
1199.06,17.6166
1204.24,17.711
1209.34,17.7676
1214.52,17.7022
1219.62,17.4796
1224.72,17.5206
1231.89,17.386
1236.99,17.7289
1242.17,17.6479
1247.27,17.7406
1252.45,17.6417
1257.55,17.6643
1262.74,17.7662
1267.83,17.9061
1273.02,17.705
1278.12,17.7713
1283.3,17.1498
1288.4,17.8898
1293.49,17.7676
1298.68,17.7553
1303.78,17.981
1308.87,17.8042
1314.06,17.7863
1319.16,17.59
1324.34,17.7834
1329.44,17.7899
1334.62,17.7298
1339.72,17.9773
1344.82,17.9533
1350.0,17.8616
1355.18,17.9191
1360.28,17.839
1365.38,17.9874
1370.56,17.7351
1375.66,17.9268
1380.84,18.2508
1385.94,18.2269
1391.13,18.369
1396.22,17.8886
1401.32,17.936
1406.51,18.1158
1411.6,18.1401
1416.79,18.1171
1421.88,18.1424
1427.07,17.9972
1432.17,17.9531
1437.35,18.1935
1442.45,18.5256
1447.55,17.9835
1452.73,19.0822
1457.83,17.9053
1463.01,17.9675
1468.11,17.9619
1473.29,17.7205
1478.39,17.3769
1483.57,17.3973
1488.76,17.4823
1493.86,17.3719
1498.95,17.3058
1504.14,17.3317
1509.24,17.4013
1514.33,17.243
1519.52,17.0881
1524.61,17.1861
1529.8,17.2307
1534.9,17.0314
1540.08,17.2232
1545.18,16.9635
1550.36,16.9148
1555.46,17.1097
1560.56,17.2866
1565.74,17.1252
1570.84,17.209
1576.02,17.0847
1581.12,17.1323
1586.3,17.1847
1591.4,17.0352
1596.59,17.1472
1601.68,17.2106
1606.87,17.2864
1622.25,17.1971
1627.34,17.2138
1632.53,17.162
1637.63,17.113
1642.72,17.0262
1647.91,17.0802
1653.0,17.0772
1658.19,17.0726
1663.37,17.1196
1668.47,17.1442
1673.57,17.2164
1678.75,17.2206
1683.85,17.1382
1689.03,16.9689
1694.13,17.2618
