# Time,MAG_err
,
0.0,18.5809
4.8384,18.9953
9.5904,19.1641
14.4288,18.2759
19.2672,18.7853
24.0192,19.0723
28.8576,18.9548
33.696,19.2348
38.448,18.2066
43.2864,17.6467
48.1248,17.7031
52.8768,17.84
57.7152,17.9001
62.4672,17.481
67.3056,17.6301
72.144,17.3141
76.896,16.5491
81.7344,17.1038
86.4864,17.4206
91.3248,17.456
96.1632,17.4709
100.915,16.7338
105.754,16.5075
110.506,16.4749
115.344,16.8713
120.182,16.7951
124.934,17.0118
129.773,17.1746
134.525,17.1115
139.363,17.3904
148.954,17.5016
153.792,17.3364
158.544,16.8742
163.382,17.4179
168.221,16.8257
172.973,16.5039
177.811,16.5031
182.563,16.5529
187.402,16.5225
192.154,16.4251
196.992,16.3464
201.744,16.5798
206.582,16.592
211.421,16.6427
216.173,16.4931
221.011,16.4575
225.763,16.5072
338.774,16.5801
343.872,17.0505
348.97,16.6001
354.154,16.5813
359.251,16.539
364.435,16.4601
369.533,16.4567
374.63,16.6048
379.814,16.5572
384.912,16.5054
390.01,16.3336
395.107,16.3495
400.291,16.4003
405.389,16.4755
410.486,16.4591
415.584,16.3271
420.682,16.5963
425.779,16.7307
430.877,17.0542
436.061,17.3564
441.158,17.4996
446.256,17.6113
451.44,17.0664
456.538,16.9731
461.635,16.8656
466.733,16.8905
471.917,17.3495
477.101,17.4889
482.285,17.6136
487.382,17.2905
492.48,17.4964
497.664,17.0401
502.762,16.9936
507.859,17.1362
513.043,16.8979
518.141,16.7873
523.325,16.9404
528.422,16.9599
533.52,16.8067
538.618,16.4718
543.802,16.2712
548.899,16.3396
554.083,16.3376
559.181,16.6774
564.278,16.8312
569.462,16.273
574.56,16.3169
579.658,16.4549
584.755,16.7083
589.853,17.0846
595.037,16.9559
600.134,17.6833
605.232,18.1212
610.416,18.3996
615.514,18.5991
620.611,17.1343
625.709,16.8509
630.806,17.3686
635.904,17.4298
641.088,17.1974
646.186,17.6136
651.283,17.8994
656.467,17.6584
661.565,17.2075
666.662,17.2852
671.846,17.2575
676.944,17.572
682.042,18.3157
687.139,18.5901
692.323,18.4428
697.421,17.8326
702.518,18.6951
707.616,19.8987
712.714,19.6578
717.898,19.2624
722.995,19.0523
728.093,18.3529
733.19,17.8432
738.288,17.5474
743.472,17.3089
748.57,17.2657
753.667,17.6915
758.765,17.0441
763.949,17.2402
769.133,17.6262
774.23,17.3248
779.328,17.3751
784.512,17.3742
789.61,17.7949
794.794,18.3738
915.494,17.0151
920.333,16.907
925.085,16.7654
929.923,16.6116
934.675,16.6403
939.514,16.8322
944.352,16.4818
949.104,17.2534
953.942,17.8587
958.781,19.1824
963.533,18.8894
968.371,18.6453
973.21,17.9886
977.962,18.0312
982.8,18.1927
987.552,18.4177
992.39,17.1178
997.142,17.6346
1001.98,17.5334
1006.82,18.5762
1011.57,18.2428
1016.41,17.9114
1021.25,17.2779
1026.0,17.3129
1030.84,16.7796
1035.68,16.8529
1040.43,16.6962
1045.27,17.4293
1050.02,16.6649
1054.86,16.6708
1059.7,17.2283
1064.53,16.6933
1069.29,16.4155
1074.12,16.7339
1078.88,16.8883
1083.72,17.7195
1088.55,17.2658
1093.31,17.8382
1098.14,18.51
1102.98,21.0841
1107.82,18.654
1112.57,17.6285
1117.41,18.2029
1122.25,18.1233
1127.0,19.3866
1131.84,19.3417
1136.59,17.9264
1141.43,18.5286
1146.27,17.7332
1155.86,18.7332
1160.61,18.3927
1165.45,18.0078
1170.29,18.2916
1175.04,18.3011
1179.88,18.5448
1184.72,19.1118
1189.47,20.0699
1194.31,18.4285
1199.15,18.9272
1203.9,17.8174
1208.74,17.3854
1213.49,18.1594
1218.33,17.4815
1223.16,17.4862
1227.92,17.6382
1232.76,18.1773
1237.59,17.2969
1242.35,16.9768
1247.18,16.7812
1252.02,16.7373
1256.77,16.7576
1261.61,17.1262
1266.45,16.6614
1271.29,16.7397
1276.04,16.9189
1280.88,16.7753
1285.72,16.5912
1295.31,16.7613
1300.15,16.5432
1304.9,16.9963
1309.74,16.5885
1314.58,16.2879
1319.33,16.1779
1324.17,16.3362
1329.0,16.2487
1333.76,16.3987
1338.6,16.275
1343.43,16.2599
1348.19,16.2058
1353.02,16.3552
1357.78,16.1508
1362.61,16.2387
1367.45,16.2701
1372.2,16.3394
1377.04,16.242
1381.88,16.2426
1386.63,16.1492
1391.47,16.3268
1396.31,16.2002
1401.06,16.2533
1405.9,16.2418
1410.65,16.3136
1415.49,16.1688
1420.33,16.2301
1425.17,16.2221
1429.92,16.3216
1434.76,16.2185
1439.51,16.2246
1444.35,16.2104
1449.19,16.3162
1454.03,16.1586
1458.78,16.301
1463.62,16.3005
1468.37,16.4309
1473.21,16.2778
1478.04,16.3319
1482.8,16.2658
1487.64,16.4346
1492.47,16.2309
1497.23,16.2315
1502.06,16.2534
1506.9,16.2996
1511.74,16.2709
1516.49,16.3545
1521.33,16.3915
1526.08,16.4607
1530.92,16.5142
1535.76,16.5567
1540.6,16.5567
1545.35,16.6776
1550.19,17.2175
1555.03,16.8341
1559.78,16.9811
1564.62,16.9816
1569.46,17.0257
1574.21,17.6633
1579.05,17.947
1583.88,17.2301
1588.64,16.9685
1593.48,16.8667
1598.31,16.4749
1603.07,16.7223
1607.9,16.3884
1612.74,16.3951
1617.49,16.8141
1622.33,16.787
1627.17,16.7761
