# Time,MAG_err
,
0.0,18.5742
4.8384,18.0688
19.44,18.3701
24.2784,18.2127
29.1168,17.9497
33.9552,17.7243
43.632,17.5827
48.5568,17.6153
53.3088,17.4768
67.824,17.6703
72.6624,17.6573
77.5872,17.5401
82.4256,17.6275
92.1024,17.5744
96.9408,17.4891
101.779,17.7099
106.704,17.749
111.456,17.8024
116.381,17.6794
121.219,17.9496
130.896,18.0119
135.734,18.2001
140.573,18.0615
150.336,18.2298
155.174,17.9654
160.013,18.1479
164.851,18.4556
174.528,18.0648
179.453,17.8108
184.291,17.6693
189.13,17.4356
193.968,17.6145
198.806,17.4717
208.483,17.7443
213.322,17.8992
218.16,17.7607
222.998,17.8534
227.837,18.1379
232.762,18.1759
237.6,18.5262
242.438,18.2171
247.277,19.3002
252.202,18.9463
257.04,18.999
261.878,18.8113
266.717,18.6367
271.555,18.783
276.394,19.0866
286.157,20.0399
290.995,19.5424
310.349,18.6153
320.112,18.6495
324.95,18.7095
334.627,17.9854
339.466,18.076
344.304,19.0323
363.744,22.9243
368.582,19.5657
417.139,19.3333
489.974,18.5352
494.813,18.353
3640.55,17.6497
3645.39,17.6127
3650.23,17.6836
3655.07,17.7472
3659.99,17.5777
3664.83,17.741
3679.34,17.6551
3684.18,17.5358
3689.11,17.702
3698.78,17.6806
3708.55,17.7248
3713.39,17.5976
3718.22,17.6272
3723.06,17.6246
3727.9,17.4526
3747.34,17.7689
3752.18,17.7422
3757.1,17.5664
3761.94,17.7249
3766.78,17.6693
3771.62,17.6114
3776.54,17.5282
3781.38,17.7719
3786.22,17.8288
3791.06,17.7699
3795.9,17.658
3800.74,17.7042
3815.34,17.5902
3820.26,17.7412
3829.94,17.7615
3834.78,17.5454
3844.45,17.6772
3849.38,17.5374
3854.22,17.5637
3859.06,17.573
3863.89,17.8636
3868.73,17.6844
3873.66,17.3429
3902.77,17.9138
3907.61,17.5627
3912.45,17.7761
3917.29,17.6231
3927.05,17.7461
3931.89,17.8752
3946.49,17.7881
3951.33,17.6514
3956.26,17.6331
3961.09,17.6298
3965.93,17.6337
3970.77,17.5054
3975.61,17.7632
3980.53,17.7638
3985.37,17.5927
4004.81,17.5417
4010.0,17.7971
4014.84,17.5524
4019.76,17.6025
4024.6,17.6417
4034.28,17.6825
4039.2,17.7005
4044.04,17.5079
4048.88,17.6918
4053.72,17.6851
